City,LAT,LNG,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Adelaide,-34.9285,138.6007,6.2,6.5,6.5,6.5,7.1,7.4,7.1,6.7,6.5,6.3,6.4,6.4,6.6
Alice Springs,-26.698,133.8807,,,,,,,6.3,5.5,5.6,4.8,4.5,4.6,4.3
Ballarat,-37.5622,143.8503,,,,5,5,4.9,5.3,5.5,5.4,5.5,5.3,5.7,5.5
Bendigo,-36.757,144.2794,,,,5,4.8,,5.9,5.4,5.7,6,5.9,6,5.7
Brisbane,-27.4698,153.0251,6,6,6.1,6.4,6.3,6.7,6.6,6,5.8,5.8,6,6.1,6.2
Bundaberg,-24.867,152.351,,,,7,7.2,7,6.6,6.2,6.5,5.7,5.7,5.6,5.6
Cairns,-16.9186,145.7781,,,,6.4,6.1,5.9,5.7,5.2,5.6,5.5,5.8,6.1,5.9
Canberra,-35.2809,149.13,5.6,4.8,4.9,5.3,5.1,5.8,5.6,4.9,5.1,5.3,5.2,5.9,6.2
Coff's Harbour,-30.2986,153.1094,,,,,,,9.1,8.3,8,7.1,7.5,7.7,7.9
Darwin,-12.4634,130.8456,4,4.3,5.6,5.9,5.9,7.1,6.4,6.1,5.2,6.5,6.3,6,4.8
Geelong,-38.1499,144.3617,,,,6.3,6,6,7.4,7.1,6.5,7.3,6.9,7.1,7.2
Gold Coast,-28.0167,153.4,,,,8.6,8.7,8.6,7.7,7.6,7.6,7.7,7.8,8.6,9
Hobart,-42.8821,147.3272,6.2,6.6,7,6.3,6.2,6.8,5.3,5.9,6,5.4,5.3,5.6,5.5
Launceston,-41.4332,147.1441,,,,5.7,5.6,6.1,4.5,4.5,5.3,4.7,4.6,4.7,5.1
Mackay,-21.1425,149.1821,,,,6.1,5.8,5.9,5.6,5.6,5.3,4.9,4.4,3.9,3.5
Melbourne,-37.8136,144.9631,6.9,6.4,6.6,7.3,7.1,8,9,8.4,7.5,8.4,8.7,9.7,9.5
Newcastle,-32.9565,151.6772,,,,6.3,6.6,7.2,7,6.7,6.1,6,6.2,6.4,6.6
Perth,-31.9505,115.8605,5.4,6.1,8,7.6,6.4,6.9,6.3,5.7,5.9,6,6.1,6.6,6.1
Rockhampton,-23.3791,150.51,,,,5.9,5.9,,5.4,,4.9,4.8,4.5,4,4.1
Sunshine Coast,-26.65,153.0667,,,,9.3,9.6,9,8.4,7.5,8,8,8.3,8.7,9
Sydney,-33.8688,151.2093,8.8,8.5,8.5,8.6,8.3,9.1,9.6,9.2,8.3,9,9.8,12.2,12.2
Toowoomba,-27.5598,151.9507,,,,5.2,5.1,5.4,5.2,4.7,5.3,5.4,5.7,5.9,5.5
Townsville,-19.259,146.8169,,,,6.2,5.7,5.8,5.4,5.1,4.8,4.5,4.3,4.3,4.1
Wollongong,-34.4278,150.8931,,,,7,6.8,7.5,7.2,6.9,7.5,6.9,7.5,8.3,8.9
Wagga Wagga,-35.1082,147.3598,,,,5.5,4.9,,5.8,5.2,4.9,5.3,4.8,4.8,4.9